epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4271.23,1.17455,1.39701,1.36116,0.65718,0.59756,0.62104,0.48438,1.34205,1.60632,1.48302,0.008614,0.008614,0.008614
44,4370.23,1.16407,1.38398,1.35668,0.60211,0.63039,0.62066,0.48129,1.3647,1.63338,1.51769,0.008581,0.008581,0.008581
45,4468.91,1.15923,1.38601,1.3518,0.66266,0.60839,0.62576,0.48085,1.35386,1.59203,1.52185,0.008548,0.008548,0.008548
46,4567.71,1.14355,1.35457,1.34002,0.6124,0.63226,0.62844,0.4862,1.35297,1.58424,1.48563,0.008515,0.008515,0.008515
47,4666.31,1.14197,1.35243,1.34447,0.67953,0.61846,0.64505,0.49379,1.34898,1.52447,1.50495,0.008482,0.008482,0.008482
48,4764.3,1.13929,1.33437,1.3439,0.61615,0.6322,0.63366,0.49058,1.34171,1.54921,1.49761,0.008449,0.008449,0.008449
49,4861.85,1.14356,1.33619,1.34181,0.63038,0.61727,0.6273,0.48557,1.34021,1.60124,1.50679,0.008416,0.008416,0.008416
50,4959.01,1.13946,1.32731,1.33123,0.63014,0.62095,0.62506,0.48296,1.36178,1.58641,1.50143,0.008383,0.008383,0.008383
51,5056.38,1.1219,1.30578,1.31939,0.6586,0.62881,0.64654,0.49227,1.33689,1.55331,1.47679,0.00835,0.00835,0.00835
52,5153.8,1.13906,1.30583,1.33147,0.65409,0.6293,0.64636,0.5026,1.31595,1.50752,1.46636,0.008317,0.008317,0.008317
53,5250.95,1.1305,1.30463,1.32831,0.67927,0.60925,0.64294,0.49887,1.32496,1.52956,1.47739,0.008284,0.008284,0.008284
54,5347.54,1.09771,1.28115,1.30867,0.68142,0.63595,0.65145,0.50637,1.32272,1.52653,1.48855,0.008251,0.008251,0.008251
55,5445.42,1.11192,1.27873,1.31776,0.63844,0.61492,0.63741,0.49314,1.32589,1.53825,1.47073,0.008218,0.008218,0.008218
56,5542.93,1.10742,1.27705,1.31753,0.6878,0.61419,0.65121,0.5034,1.31336,1.51991,1.4733,0.008185,0.008185,0.008185
57,5638.75,1.1027,1.26992,1.30562,0.65461,0.63084,0.64565,0.50498,1.33793,1.54058,1.49194,0.008152,0.008152,0.008152
58,5736.36,1.09738,1.25167,1.30852,0.66366,0.62185,0.64632,0.50414,1.31813,1.51135,1.46977,0.008119,0.008119,0.008119
